word|wordRepr|freq
apporté|apporte|434.284781488918
apprend|apprend|243.324102725365
apprendre|apprendre|950.59894719748
apprends|apprends|197.424869685799
appris|appris|1208.9657056806595
apprit|apprit|128.333444203685
approcha|approcha|239.683985355503
approchait|approchait|166.965707820631
approche|approche|687.347111645232
approcher|approcher|301.15055095108
approchez|approchez|166.241256368675
apprécie|apprecie|218.67826427849
apprécier|apprecier|125.277140086991
appui|appui|199.942362125643
appuie|appuie|166.111057688528
appuya|appuya|98.2910857324601
appuyer|appuyer|144.143899225712
appuyé|appuye|159.1976442691562
appétit|appetit|244.113474537156
après|apres|9587.76681301351
après-demain|apresdemain|101.864112044175
arabe|arabe|245.45614392897602
arabes|arabes|199.7641477503407
araignée|araignee|134.935252269927
arbre|arbre|639.194174810503
arbres|arbres|952.494742926437
arc|arc|101.800672602728
archives|archives|97.50481019297277
ardeur|ardeur|158.045485252431
argent|argent|3987.9442917191427
arme|arme|858.5742702529675
armes|armes|993.5172797421454
armoire|armoire|261.008442173366
armé|arme|178.04539099327718
armée|armee|1274.1240314197175
armées|armees|265.5572328002941
armés|armes|137.2783094507422
arrache|arrache|156.219635726686
arracher|arracher|282.613924120039
arraché|arrache|138.8558079500068
arrange|arrange|193.002294302872
arranger|arranger|368.328912745911
arrangé|arrange|154.871144019856
arrestation|arrestation|143.900795964771
arriva|arriva|291.635476523358
arrivaient|arrivaient|140.366547210571
arrivais|arrivais|163.24511724228
arrivait|arrivait|696.748299905727
arrivant|arrivant|187.03285826022662
arrive|arrive|3792.21765755017
arrivent|arrivent|439.736435327023
arriver|arriver|1527.8251165922
arrivera|arrivera|351.955532571544
arriverait|arriverait|114.204351507996
arrives|arrives|176.954334809965
arrivé|arrive|2031.0747764997816
arrivée|arrivee|1044.434432420162
arrivés|arrives|363.61698740140713
arrière|arriere|1049.2466345262203
arrêt|arret|514.159633319329
arrêta|arreta|519.899852916499
arrêtait|arretait|252.413474376904
arrête|arrete|2982.02497296389
arrêtent|arretent|109.973582303753
arrêter|arreter|1425.5967678989
arrêtes|arretes|131.427127112973
arrêtez|arretez|996.266707734219
arrêté|arrete|755.6187387318365
arrêtée|arretee|177.443471694427
arrêtés|arretes|150.8758744979059
art|art|809.32605800471
article|article|357.451754807977
articles|articles|163.01920672215
artillerie|artillerie|142.566809366195
artiste|artiste|368.3089624881975
artistes|artistes|180.05468345478792
as|as|21733.008621068006
ascenseur|ascenseur|255.472146575828
asile|asile|203.860057327489
aspect|aspect|251.518584973973
assassin|assassin|355.1097699058027
assassins|assassins|115.32513222598159
assassiné|assassine|131.9882325915244
assaut|assaut|211.621781629707
assemblée|assemblee|211.40855654404223
asseoir|asseoir|720.420052339697
asseyez|asseyez|484.207208116395
assez|assez|4546.52162962347
assieds|assieds|489.999508998334
assiette|assiette|280.553469011798
assiettes|assiettes|146.363895050055
assis|assis|1310.794616566511
assise|assise|464.0847142100034
assises|assises|103.0052201854258
assistance|assistance|165.284172648615
assistant|assistant|128.2717982949973
assistante|assistante|98.3291735100524
assister|assister|195.691099588412
assisté|assiste|113.68419428527015
assit|assit|271.140445673315
association|association|105.152500020532
associé|associe|131.080491844405
assurance|assurance|271.507586543993
assure|assure|389.487138573894
assurer|assurer|405.067514524846
assuré|assure|169.12077634918433
atelier|atelier|280.183244137939
atmosphère|atmosphere|271.960652708572
atroce|atroce|118.807516284409
attache|attache|144.7869518951867
attacher|attacher|118.316732571834
attaché|attache|180.0599504254027
attaque|attaque|605.595120142774
attaquer|attaquer|239.665509080224
attaqué|attaque|160.359034487567
atteindre|atteindre|356.062653600721
atteint|atteint|339.3968079873969
atteinte|atteinte|101.3936365497907
attend|attend|1365.70623215332
attendaient|attendaient|207.553074864401
attendais|attendais|528.272605552848
attendait|attendait|833.398987369242
attendant|attendant|646.6993699581215
attendent|attendent|323.05880875299
attendez|attendez|1379.95775937395
attendit|attendit|159.488239355052
attendons|attendons|152.037098806593
attendrai|attendrai|132.23789862667
attendre|attendre|1762.9862375341
attends|attends|2978.65737610844
attendu|attendu|445.1539533494854
attente|attente|463.7096118002013
attentif|attentif|115.452758504024
attention|attention|2513.301312936497
attentivement|attentivement|110.871197749391
attire|attire|131.316176641495
attirer|attirer|189.576844526913
attiré|attire|102.215663258836
attitude|attitude|432.449669287291
attrape|attrape|235.38598372163298
attraper|attraper|288.190120233004
attrapé|attrape|167.933121162046
au|au|49727.9367242697
au-delà|audela|447.3960386556557
au-dessous|audessous|150.993356269391
au-dessus|audessus|1207.800454192507
aube|aube|471.5366266918528
auberge|auberge|162.481671643815
aucun|aucun|2644.705688531538
aucune|aucune|2354.8273551218663
audace|audace|118.678613407851
audience|audience|117.364372747115
aujourd'hui|aujourdhui|2851.8001667228564
auparavant|auparavant|305.532887063178
auprès|aupres|686.4427744516192
auquel|auquel|342.5847794335053
aura|aura|1988.18691588494
aurai|aurai|878.4251377447442
auraient|auraient|686.438803284595
aurais|aurais|3841.9385698759684
aurait|aurait|5156.303042867152
auras|auras|745.4034660963453
aurez|aurez|525.667509516794
auriez|auriez|498.87928797583197
aurions|aurions|205.74571388305623
aurons|aurons|247.488668035302
auront|auront|315.489063475133
aussi|aussi|15170.7444314235
aussitôt|aussitot|1113.91018084743
autant|autant|2154.27179396378
autel|autel|114.836538416794
auteur|auteur|273.874252535175
auto|auto|255.597417040761
autobus|autobus|169.556279543355
automne|automne|328.18753215827
automobile|automobile|123.2137930263208
autorisation|autorisation|156.563915182145
autorité|autorite|410.288329627606
autorités|autorites|192.807206737085
autoroute|autoroute|145.997321792895
autour|autour|2470.4102194862326
autre|autre|13820.351085883322
autrefois|autrefois|679.2015461275272
autrement|autrement|564.850185697292
autres|autres|5027.787540620716
autrui|autrui|103.467147322093
aux|aux|15044.8622923181
auxquelles|auxquelles|140.56382467974353
auxquels|auxquels|162.3358763716973
avaient|avaient|4405.99568787663
avais|avais|9356.19209359771
avait|avait|30711.667779188698
avaler|avaler|171.974069771116
avance|avance|1181.009882171608
avancer|avancer|291.253842813548
avancez|avancez|112.908803711534
avancé|avance|138.9080114011809
avant|avant|8367.045088159168
avantage|avantage|217.12074217796874
avantages|avantages|102.30719961192058
avança|avanca|155.711812913903
avançait|avancait|197.186280667157
avec|avec|42311.6695898714
avenir|avenir|1021.209616554554
aventure|aventure|437.6150502310465
aventures|aventures|204.6269187485822
avenue|avenue|318.43478734994534
averti|averti|103.0973118829059
avertir|avertir|134.602023689944
aveu|aveu|105.902519725337
aveugle|aveugle|510.28582900500965
aveugles|aveugles|123.27395108066581
avez|avez|11700.0072124096
aviation|aviation|101.716535508419
aviez|aviez|692.960859396468
avion|avion|837.902844701413
avions|avions|1218.066844128628
avis|avis|1123.78536551386
avocat|avocat|625.154849473381
avocats|avocats|151.217427910657
avoir|avoir|10497.238773274434
avons|avons|4334.82454412773
